Cur_Vertical_Sep	High_Confidence	Two_of_Three_Reports_Valid	Own_Tracked_Alt	Own_Tracked_Alt_Rate	Other_Tracked_Alt	Alt_Layer_Value	Up_Separation	Down_Separation	Other_RAC	Other_Capability	Climb_Inhibit
1000	1	0	500	500	800	3	150	250	0	0	1
800	0	1	500	300	700	2	50	150	1	1	0
700	1	0	500	100	200	1	450	50	1	0	0
900	0	1	500	100	400	0	250	450	0	1	1
900	1	1	500	400	400	3	350	350	1	0	0
600	0	1	500	200	200	1	150	350	1	1	1
600	1	0	500	100	700	2	50	150	0	0	1
800	0	0	500	200	800	0	450	250	0	1	0
800	0	1	500	500	800	1	350	450	1	0	1
1000	0	1	500	600	400	2	250	50	1	1	0
700	1	0	500	300	200	0	350	50	0	0	1
700	1	1	500	200	700	3	50	450	0	1	0
700	0	0	500	400	400	1	150	150	0	1	0
600	0	1	500	300	400	3	250	250	1	1	0
900	1	0	500	500	700	2	450	350	0	1	0
1000	1	0	500	200	700	0	350	150	1	1	1
800	1	0	500	400	700	1	250	250	0	0	1
1000	0	0	500	300	800	2	450	450	0	0	1
600	0	0	500	400	800	0	50	50	1	0	0
900	1	0	500	200	700	2	150	50	0	0	1
900	1	1	500	600	200	3	450	150	0	0	1
900	0	0	500	600	800	1	50	350	1	1	1
700	1	0	500	500	200	2	250	250	1	0	1
600	1	1	500	600	700	0	350	250	1	0	0
700	1	0	500	600	800	0	150	350	1	1	1
1000	1	1	500	400	200	2	450	450	0	1	0
800	1	0	500	500	400	3	50	50	0	1	1
800	1	0	500	100	200	3	150	350	0	1	0
1000	1	1	500	300	800	1	250	150	1	1	0
800	1	0	500	600	400	2	150	450	0	1	0
1000	1	0	500	200	400	1	250	350	1	1	1
900	0	0	500	300	200	0	50	250	0	1	0
1000	0	0	500	300	700	1	150	350	0	1	0
1000	0	1	500	100	800	2	350	250	1	1	1
1000	1	1	500	500	200	0	50	150	0	1	1
600	0	0	500	500	400	3	450	450	0	0	0
